AUM,EXPENSE_RATIO,FUND,ISSUER,RETURN_10YR,RETURN_1YR,RETURN_3YR,RETURN_5YR,SEGMENT,TICKER
646425000.0,43.0,Guggenheim Bulletshares 2017 High Yield Corporate Bond ETF,['Guggenheim'],,0.078558,0.019789,,Fixed Income: U.S.  - Corporate High Yield Ultra-Short Term,BSJH
632899116.63,20.0,Guggenheim S&P 500 Top 50 ETF,['Guggenheim'],0.067915,0.243277,0.119094,0.134309,Equity: U.S.  -  Large Cap,XLG
631438500.0,20.0,Vanguard S&P Mid-Cap 400 Growth Index Fund,['Vanguard'],,0.29464,0.092225,0.126861,Equity: U.S.  -  Mid Cap Growth,IVOG
627234200.0,43.0,Guggenheim BulletShares 2019 High Yield Corporate Bond ETF,['Guggenheim'],,0.158788,0.025463,,Fixed Income: U.S.  - Corporate High Yield Short-Term,BSJJ
611330657.664,25.0,First Trust Enhanced Short Maturity ETF,['First Trust'],,0.013267,,,Fixed Income: U.S.  -  Broad Market Short-Term,FTSM
608689304.496,62.0,First Trust Large Cap Growth AlphaDEX Fund,['First Trust'],,0.16194,0.084181,0.131077,Equity: U.S.  -  Large Cap Growth,FTC
606556800.0,24.0,Guggenheim BulletShares 2021 Corporate Bond ETF,['Guggenheim'],,0.054828,0.037157,,Fixed Income: U.S.  -  Corporate Investment Grade Intermediate,BSCL
593526000.0,15.0,Vanguard S&P Small Cap 600 Index Fund ETF,['Vanguard'],,0.390889,0.106865,0.145514,Equity: U.S.  -  Small Cap,VIOO
585613500.0,45.0,ProShares Large Cap Core Plus,['ProShares'],,0.265625,0.117124,0.148565,Equity: U.S.  -  Large Cap,CSM
577707080.0,28.0,WisdomTree Total Dividend Fund,['WisdomTree'],0.067388,0.258173,0.113902,0.133628,Equity: U.S.  -  Total Market,DTD
560930349.0,39.0,Oppenheimer Large Cap Revenue ETF,['OppenheimerFunds'],,0.251395,0.102777,0.145269,Equity: U.S.  -  Large Cap,RWL
550057652.136,35.0,Guggenheim S&P Midcap 400 Pure Growth ETF,['Guggenheim'],0.097038,0.20041,0.034936,0.092201,Equity: U.S.  -  Mid Cap Growth,RFG
